local_site,depth,date,chl_a
GL4,0,7/3/18,6.059
GL4,3,7/3/18,5.155
GL4,9,7/3/18,7.993
GL4,0,7/10/18,1.88
GL4,3,7/10/18,1.65
GL4,9,7/10/18,7.71
GL4,0,7/17/18,2.1
GL4,3,7/17/18,1.983
GL4,9,7/17/18,5.91
GL4,0,7/24/18,3.02
GL4,3,7/24/18,2.04
GL4,9,7/24/18,6.03
GL4,0,7/31/18,3.345
GL4,3,7/31/18,1.696
GL4,9,7/31/18,2.849
GL4,0,8/7/18,2.15
GL4,3,8/7/18,2.13
GL4,9,8/7/18,1.98
GL4,0,2/5/19,6.26
GL4,0,3/26/19,2.74
GL4,0,4/24/19,2.37
GL4,0,7/23/19,6.64
GL4,3,7/23/19,8.94
GL4,9,7/23/19,4.1
GL4,0,7/30/19,1.7
GL4,3,7/30/19,3.48
GL4,9,7/30/19,1.74
GL4,0,8/6/19,3.44
GL4,3,8/6/19,2.78
GL4,9,8/6/19,3.91
GL4,0,8/13/19,6.13
GL4,3,8/13/19,5.93
GL4,9,8/13/19,4.17
GL4,0,8/20/19,6.1
GL4,3,8/20/19,6.01
GL4,9,8/20/19,6.88
GL4,0,8/27/19,4.84
GL4,3,8/27/19,4.62
GL4,9,8/27/19,2.59
GL4,0,11/14/19,0.92